id,year,state_name,state_code,district_name,district_code,registration_circles,murder,attempt_to_commit_murder,culpable_homicide_not_amounting_to_murder,attempt_to_commit_culpable_homicide,rape,attempt_to_commit_rape,kidnapping_and_abduction,dacoity,mkng_preparation_and_assembly_for_comm_dacoity,robbery,criminal_trespass_or_burglary,theft,unlawful_assembly,riots,criminal_breach_of_trust,cheating,forgery,counterfeiting,arson,grievous_hurt,dowry_deaths,assault_on_women,insult_to_the_modesty_of_women,cruelty_by_husband_or_his_relatives,importation_of_girls_from_foreign_country,causing_death_by_negligence,offences_against_state,offences_promoting_enmity_between_diff_grp,extortion,disclosure_of_identity_of_victims,incidence_of_rash_driving,human_trafficking,unnatural_offence,other_ipc_crimes
102,2016,Bihar,10,Madhubani,206,Madhubani,61,55,0,0,59,0,221,11,0,43,111,461,0,394,77,167,0,0,1,32,35,7,0,214,0,116,0,0,27,0,98,2,0,2815
103,2016,Bihar,10,Purbi Champaran,213,Motihari,87,1129,0,8,23,1,292,11,4,54,279,878,0,615,24,21,71,0,17,119,64,0,0,179,0,136,0,8,79,0,101,0,1,3615
104,2016,Bihar,10,Munger,207,Munger,33,5,4,0,11,0,88,5,1,19,57,181,0,148,3,98,0,0,0,1,6,11,0,55,0,47,0,0,54,0,26,0,0,1079
105,2016,Bihar,10,Muzaffarpur,208,Muzaffarpur,134,268,0,50,33,30,389,23,0,103,337,2170,0,353,46,185,57,0,12,108,45,0,0,141,0,256,0,0,33,0,451,1,0,2820
106,2016,Bihar,10,Muzaffarpur,208,Muzaffarpur Railway,16,1,0,0,4,0,19,1,0,3,9,287,0,1,1,19,1,0,1,0,0,8,0,2,0,4,0,0,3,0,1,0,0,132
107,2016,Bihar,10,Nalanda,209,Nalanda,72,276,2,323,34,0,323,14,0,46,115,734,62,325,5,255,7,0,7,235,47,13,0,108,0,109,0,0,24,0,287,1,0,2906
240,2016,Jammu And Kashmir,1,Jammu,5,Crime Jammu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,2016,Bihar,10,Bhagalpur,192,Naugachia,32,0,0,0,5,0,41,2,0,10,10,75,0,102,8,17,7,0,1,0,8,7,0,28,0,76,0,0,14,0,60,0,0,714
109,2016,Bihar,10,Nawada,210,Nawadah,60,41,0,0,18,7,158,8,0,13,27,330,0,225,30,198,9,0,1,1281,20,10,0,56,0,110,0,0,5,0,86,1,0,486
110,2016,Bihar,10,Patna,212,Patna,261,22,0,0,75,15,1006,37,0,167,772,3802,0,745,21,1384,0,3,3,3296,98,117,3,455,0,458,0,0,193,0,465,0,6,3785
111,2016,Bihar,10,Patna,212,Patna Railway,6,3,0,0,1,0,12,3,2,5,3,665,0,7,1,12,0,0,0,6,4,19,0,0,0,1,0,0,0,0,0,0,0,326
112,2016,Bihar,10,Purnia,214,Purnea,80,0,0,0,23,0,142,7,0,43,82,426,30,217,29,11,17,0,4,96,28,0,0,62,0,244,0,0,9,0,92,0,0,2066
113,2016,Bihar,10,Rohtas,215,Rohtas,76,42,5,1,25,3,176,16,3,51,208,742,0,288,107,13,119,0,0,1659,25,1,0,81,0,179,0,0,24,0,107,0,1,987
114,2016,Bihar,10,Saharsa,216,Saharsa,39,95,1,6,25,0,128,6,1,30,97,299,21,566,14,157,0,0,4,16,8,1,0,43,0,48,0,0,20,0,65,0,0,1299
115,2016,Bihar,10,Samastipur,217,Samastipur,87,367,5,10,19,0,259,4,0,28,65,483,352,314,2,175,5,0,12,76,36,1,0,98,0,156,0,0,17,0,298,0,1,2214
116,2016,Bihar,10,Saran,218,Saran,137,593,0,0,36,0,329,25,0,84,209,899,0,704,20,465,41,0,32,157,45,0,0,210,0,181,0,0,0,0,111,0,0,3233
117,2016,Bihar,10,Sheikhpura,219,Sheikhpura,16,328,0,0,11,0,38,5,0,7,42,90,0,115,4,73,7,0,3,241,4,15,0,63,0,32,0,0,16,0,29,0,0,260
118,2016,Bihar,10,Sheohar,220,Sheohar,10,3,0,2,5,0,31,3,0,5,7,43,0,17,5,16,5,0,0,51,11,9,0,14,0,12,0,0,13,0,8,0,0,341
119,2016,Bihar,10,Sitamarhi,221,Sitamarhi,60,285,0,32,23,19,247,8,6,28,128,509,286,159,25,51,88,0,11,332,25,0,0,158,0,26,0,0,48,0,161,0,0,1731
120,2016,Bihar,10,Siwan,222,Siwan,59,138,0,54,28,0,180,7,0,36,98,764,228,354,17,174,18,0,1,339,41,0,0,83,0,112,0,0,22,0,201,0,0,1471
121,2016,Bihar,10,Supaul,223,Supaul,39,290,6,34,37,15,149,4,0,44,53,252,455,529,92,80,1,0,39,56,12,1,0,31,0,88,0,0,23,0,42,0,0,542
122,2016,Bihar,10,Vaishali,224,Vaishali,73,261,0,42,26,0,239,7,0,51,116,921,132,381,30,166,0,0,17,453,51,0,0,85,0,47,0,0,21,0,310,0,0,1533
123,2016,Bihar,10,Patna,212,Economic Offences Unit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
