id,year,state_name,state_code,district_name,district_code,registration_circles,rape,attempt_to_commit_rape,kidnapping_and_abduction,dowry_deaths,assault_on_women,insult_to_the_modesty_of_women,cruelty_by_husband_relatives,importation_of_girls_from_foreign,abetment_of_suicides_of_women,dowry_prohibition,indecent_representation_of_women,protection_of_women_from_domestic_violence,immoral_traffic_prevention,acid_attack,attempt_to_acid_attack,deaths_caused_with_intent_to_cause_miscarriage,causing_miscarriage_without_consent_of_women,human_trafficking,un_natural_offences
472,2016,Mizoram,15,Kolasib,263,Kolasib,5,0,0,0,6,0,2,0,0,0,0,0,1,0,0,0,0,0,0
473,2016,Mizoram,15,Lawngtlai,264,Lawngtlai,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474,2016,Mizoram,15,Lunglei,265,Lunglei,5,0,1,0,14,1,2,0,0,0,0,0,0,0,0,0,0,0,0
475,2016,Mizoram,15,Mamit,266,Mamit,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
476,2016,Mizoram,15,Saiha,267,Saiha,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
477,2016,Mizoram,15,Serchhip,268,Serchhip,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
478,2016,Mizoram,15,Aizawl,261,Spl Narcotic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
479,2016,Nagaland,13,Dimapur,244,Dimapur,9,3,47,1,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0
480,2016,Nagaland,13,Kiphire,614,Kiphire,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,2016,Nagaland,13,Kohima,245,Kohima,7,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0
482,2016,Nagaland,13,Longleng,615,Longleng,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
483,2016,Nagaland,13,Mokokchung,246,Mokokchung,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485,2016,Nagaland,13,Peren,613,Peren,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486,2016,Nagaland,13,Phek,248,Phek,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
487,2016,Nagaland,13,Tuensang,249,Tuensang,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
